head	relation	tail
TCM_ID:HTHP00100	modulates	Protein:BCL2
TCM_ID:HTHP00100	modulates	Protein:CALM3
TCM_ID:HTHP00100	modulates	Protein:CASP3
TCM_ID:HTHP00100	modulates	Protein:CASP9
TCM_ID:HTHP00100	modulates	Protein:CCNA2
TCM_ID:HTHP00100	modulates	Protein:CCND2
TCM_ID:HTHP00100	modulates	Protein:CDK2
TCM_ID:HTHP00100	modulates	Protein:CDK6
TCM_ID:HTHP00100	modulates	Protein:CDKN1A
TCM_ID:HTHP00100	modulates	Protein:CDKN2A
TCM_ID:HTHP00100	modulates	Protein:COX10
TCM_ID:HTHP00100	modulates	TF:ESR1
TCM_ID:HTHP00100	modulates	Protein:FCER2
TCM_ID:HTHP00100	modulates	Protein:FOS
TCM_ID:HTHP00100	modulates	Protein:GSK3A
TCM_ID:HTHP00100	modulates	Protein:GSK3B
TCM_ID:HTHP00100	modulates	TF:HIF1A
TCM_ID:HTHP00100	modulates	Protein:HMOX1
TCM_ID:HTHP00100	modulates	Protein:ICAM1
TCM_ID:HTHP00100	modulates	Protein:IFNG
TCM_ID:HTHP00100	modulates	Protein:IGF1R
TCM_ID:HTHP00100	modulates	Protein:IL2
TCM_ID:HTHP00100	modulates	Protein:IL4
TCM_ID:HTHP00100	modulates	Protein:INS
TCM_ID:HTHP00100	modulates	Protein:EIF6
TCM_ID:HTHP00100	modulates	TF:JUN
TCM_ID:HTHP00100	modulates	Protein:MDM2
TCM_ID:HTHP00100	modulates	Protein:MMP1
TCM_ID:HTHP00100	modulates	Protein:MMP9
TCM_ID:HTHP00100	modulates	Protein:NOS2
TCM_ID:HTHP00100	modulates	Protein:PLAU
TCM_ID:HTHP00100	modulates	Protein:POLD1
TCM_ID:HTHP00100	modulates	Protein:PRSS1
TCM_ID:HTHP00100	modulates	Protein:PSMD3
TCM_ID:HTHP00100	modulates	Protein:PTGS2
TCM_ID:HTHP00100	modulates	TF:RELA
TCM_ID:HTHP00100	modulates	Protein:TNF
TCM_ID:HTHP00100	modulates	TF:TP53
TCM_ID:HTHP00100	modulates	Protein:TRPM2
TCM_ID:HTHP00100	modulates	Protein:VEGFA
TCM_ID:HTHP00100	modulates	Protein:VEZF1
TCM_ID:HTHP00100	modulates	Protein:CREG1
TCM_ID:HTHP00100	modulates	Protein:EBAG9
TCM_ID:HTHP00100	modulates	Protein:EEF1E1
TCM_ID:HTHP00100	modulates	Protein:PSME3
TCM_ID:HTHP00100	modulates	Protein:AHSA1
TCM_ID:HTHP00100	modulates	Protein:CYCS
TCM_ID:HTHP00100	modulates	Protein:TCEAL7
TCM_ID:HTHP00100	modulates	Protein:ADTRP
TCM_ID:HTHP00100	modulates	Protein:NOSTRIN
TCM_ID:HTHP00100	modulates	Protein:KSR2
TCM_ID:HTHP00100	modulates	Protein:Ccpg1os
TCM_ID:HTHP00100	modulates	Protein:Ptges3-ps
TCM_ID:HTHP00100	modulates	Protein:Api5-ps
TCM_ID:HTHP00100	modulates	Protein:TP53COR1
TCM_ID:HTHP00100	modulates	Protein:Cox20b
TCM_ID:HTHP00100	modulates	Protein:ALDH3A1
TCM_ID:HTHP00100	modulates	Protein:KLK3
TCM_ID:HTHP00100	modulates	Protein:AQP9
TCM_ID:HTHP00100	modulates	Protein:ATP5F1B
TCM_ID:HTHP00100	modulates	Protein:B2M
TCM_ID:HTHP00100	modulates	Protein:CBS
TCM_ID:HTHP00100	modulates	Protein:CDK5
TCM_ID:HTHP00100	modulates	Protein:ABCC2
TCM_ID:HTHP00100	modulates	TF:CTNNB1
TCM_ID:HTHP00100	modulates	Protein:CYP3A4
TCM_ID:HTHP00100	modulates	Protein:EGFR
TCM_ID:HTHP00100	modulates	Protein:ERBB2
TCM_ID:HTHP00100	modulates	Protein:ERCC1
TCM_ID:HTHP00100	modulates	Protein:ERCC4
TCM_ID:HTHP00100	modulates	Protein:GFAP
TCM_ID:HTHP00100	modulates	Protein:GOT2
TCM_ID:HTHP00100	modulates	Protein:HGF
TCM_ID:HTHP00100	modulates	Protein:IKBKB
TCM_ID:HTHP00100	modulates	Protein:IL1B
TCM_ID:HTHP00100	modulates	Protein:IL6
TCM_ID:HTHP00100	modulates	Protein:CXCL8
TCM_ID:HTHP00100	modulates	Protein:KRT1
TCM_ID:HTHP00100	modulates	Protein:LIG4
TCM_ID:HTHP00100	modulates	Protein:LTF
TCM_ID:HTHP00100	modulates	Protein:MT2A
TCM_ID:HTHP00100	modulates	Protein:NOS3
TCM_ID:HTHP00100	modulates	Protein:OGG1
TCM_ID:HTHP00100	modulates	Protein:P4HB
TCM_ID:HTHP00100	modulates	Protein:PCNA
TCM_ID:HTHP00100	modulates	Protein:PFKFB3
TCM_ID:HTHP00100	modulates	Protein:PML
TCM_ID:HTHP00100	modulates	Protein:POLB
TCM_ID:HTHP00100	modulates	TF:PPARG
TCM_ID:HTHP00100	modulates	Protein:PRL
TCM_ID:HTHP00100	modulates	Protein:RAC1
TCM_ID:HTHP00100	modulates	Protein:RAD23A
TCM_ID:HTHP00100	modulates	Protein:RGS1
TCM_ID:HTHP00100	modulates	Protein:MAPK12
TCM_ID:HTHP00100	modulates	Protein:SHMT1
TCM_ID:HTHP00100	modulates	Protein:SLC3A2
TCM_ID:HTHP00100	modulates	Protein:SOD2
TCM_ID:HTHP00100	modulates	Protein:SSBP1
TCM_ID:HTHP00100	modulates	Protein:TGFB1
TCM_ID:HTHP00100	modulates	Protein:VCAM1
TCM_ID:HTHP00100	modulates	Protein:TNFSF10
TCM_ID:HTHP00100	modulates	Protein:CD83
TCM_ID:HTHP00100	modulates	Protein:TMPRSS11D
TCM_ID:HTHP00100	modulates	Protein:PRDX6
TCM_ID:HTHP00100	modulates	Protein:ABCC4
TCM_ID:HTHP00100	modulates	Protein:TUBB4A
TCM_ID:HTHP00100	modulates	Protein:TUBB4B
TCM_ID:HTHP00100	modulates	Protein:PRDX5
TCM_ID:HTHP00100	modulates	Protein:CIDEB
TCM_ID:HTHP00100	modulates	Protein:TUBA8
TCM_ID:HTHP00100	modulates	Protein:SOX18
TCM_ID:HTHP00100	modulates	Protein:TUBB2B
TCM_ID:HTHP00100	modulates	Protein:ALB
TCM_ID:HTHP00100	modulates	Protein:CAV1
TCM_ID:HTHP00100	modulates	Protein:CYP1A2
TCM_ID:HTHP00100	modulates	Protein:CYP21A2
TCM_ID:HTHP00100	modulates	TF:ESR2
TCM_ID:HTHP00100	modulates	Protein:LDLR
TCM_ID:HTHP00100	modulates	TF:STAT1
TCM_ID:HTHP00100	modulates	Protein:TFF1
TCM_ID:HTHP00100	modulates	Protein:B4GALT7
TCM_ID:HTHP00100	modulates	Protein:LRP10
TCM_ID:HTHP00100	modulates	Protein:LARS1
TCM_ID:HTHP00100	modulates	Protein:ALDH2
TCM_ID:HTHP00100	modulates	Protein:ALDH3B2
TCM_ID:HTHP00100	modulates	Protein:BUB1
TCM_ID:HTHP00100	modulates	Protein:CFTR
TCM_ID:HTHP00100	modulates	Protein:CYP24A1
TCM_ID:HTHP00100	modulates	Protein:FN1
TCM_ID:HTHP00100	modulates	Protein:PTEN
TCM_ID:HTHP00100	modulates	Protein:TGFB2
TCM_ID:HTHP00100	modulates	Protein:MSLN
TCM_ID:HTHP00100	modulates	Protein:Cfmq2
TCM_ID:HTHP00100	modulates	Protein:DNTT
TCM_ID:HTHP00100	modulates	Protein:APP
TCM_ID:HTHP00100	modulates	Protein:Ncf2-rs
TCM_ID:HTHP00100	modulates	Protein:ACR
TCM_ID:HTHP00100	modulates	Protein:ACP2
TCM_ID:HTHP00100	modulates	Protein:AMY1A
TCM_ID:HTHP00100	modulates	Protein:AMY2B
TCM_ID:HTHP00100	modulates	Protein:APLP2
TCM_ID:HTHP00100	modulates	Protein:AQP8
TCM_ID:HTHP00100	modulates	Protein:AQP6
TCM_ID:HTHP00100	modulates	Protein:AZU1
TCM_ID:HTHP00100	modulates	Protein:CFB
TCM_ID:HTHP00100	modulates	Protein:BLMH
TCM_ID:HTHP00100	modulates	Protein:C1S
TCM_ID:HTHP00100	modulates	Protein:C2
TCM_ID:HTHP00100	modulates	Protein:CACNB3
TCM_ID:HTHP00100	modulates	Protein:CACNB4
TCM_ID:HTHP00100	modulates	Protein:CALM1
TCM_ID:HTHP00100	modulates	Protein:CD40
TCM_ID:HTHP00100	modulates	Protein:CEACAM7
TCM_ID:HTHP00100	modulates	Protein:CMA1
TCM_ID:HTHP00100	modulates	Protein:SLC31A2
TCM_ID:HTHP00100	modulates	Protein:CPA1
TCM_ID:HTHP00100	modulates	Protein:CPA2
TCM_ID:HTHP00100	modulates	Protein:CPA3
TCM_ID:HTHP00100	modulates	Protein:CPB1
TCM_ID:HTHP00100	modulates	Protein:CPB2
TCM_ID:HTHP00100	modulates	Protein:CTBP1
TCM_ID:HTHP00100	modulates	Protein:CTRB1
TCM_ID:HTHP00100	modulates	Protein:CTRL
TCM_ID:HTHP00100	modulates	Protein:CTSG
TCM_ID:HTHP00100	modulates	Protein:CYB561
TCM_ID:HTHP00100	modulates	Protein:CYP2A7
TCM_ID:HTHP00100	modulates	Protein:CYP3A7
TCM_ID:HTHP00100	modulates	Protein:CYP2A13
TCM_ID:HTHP00100	modulates	Protein:CYP2C18
TCM_ID:HTHP00100	modulates	Protein:CYP2F1
TCM_ID:HTHP00100	modulates	Protein:CYP2J2
TCM_ID:HTHP00100	modulates	Protein:CYP3A5
TCM_ID:HTHP00100	modulates	Protein:CYP4B1
TCM_ID:HTHP00100	modulates	Protein:CFD
TCM_ID:HTHP00100	modulates	Protein:CELA1
TCM_ID:HTHP00100	modulates	Protein:ELANE
TCM_ID:HTHP00100	modulates	Protein:F2
TCM_ID:HTHP00100	modulates	Protein:F7
TCM_ID:HTHP00100	modulates	Protein:F9
TCM_ID:HTHP00100	modulates	Protein:F10
TCM_ID:HTHP00100	modulates	Protein:F11
TCM_ID:HTHP00100	modulates	Protein:F12
TCM_ID:HTHP00100	modulates	Protein:FOXI1
TCM_ID:HTHP00100	modulates	Protein:GZMH
TCM_ID:HTHP00100	modulates	Protein:GZMA
TCM_ID:HTHP00100	modulates	Protein:GZMB
TCM_ID:HTHP00100	modulates	Protein:GZMK
TCM_ID:HTHP00100	modulates	Protein:GZMM
TCM_ID:HTHP00100	modulates	Protein:HABP2
TCM_ID:HTHP00100	modulates	Protein:HGFAC
TCM_ID:HTHP00100	modulates	Protein:HP
TCM_ID:HTHP00100	modulates	Protein:HPN
TCM_ID:HTHP00100	modulates	Protein:HPR
TCM_ID:HTHP00100	modulates	Protein:HTN1
TCM_ID:HTHP00100	modulates	Protein:CFI
TCM_ID:HTHP00100	modulates	Protein:IMPG1
TCM_ID:HTHP00100	modulates	Protein:KLK1
TCM_ID:HTHP00100	modulates	Protein:KLK2
TCM_ID:HTHP00100	modulates	Protein:KLKB1
TCM_ID:HTHP00100	modulates	Protein:LPA
TCM_ID:HTHP00100	modulates	Protein:MST1
TCM_ID:HTHP00100	modulates	Protein:NAP1L1
TCM_ID:HTHP00100	modulates	Protein:PLAT
TCM_ID:HTHP00100	modulates	Protein:PLG
TCM_ID:HTHP00100	modulates	Protein:PLGLB1
TCM_ID:HTHP00100	modulates	Protein:PPIA
TCM_ID:HTHP00100	modulates	Protein:PROC
TCM_ID:HTHP00100	modulates	Protein:PRSS3
TCM_ID:HTHP00100	modulates	Protein:MASP1
TCM_ID:HTHP00100	modulates	Protein:KLK7
TCM_ID:HTHP00100	modulates	Protein:TMPRSS15
TCM_ID:HTHP00100	modulates	Protein:PRSS8
TCM_ID:HTHP00100	modulates	Protein:KLK6
TCM_ID:HTHP00100	modulates	Protein:KLK10
TCM_ID:HTHP00100	modulates	Protein:PRTN3
TCM_ID:HTHP00100	modulates	Protein:PSPH
TCM_ID:HTHP00100	modulates	Protein:RPS27A
TCM_ID:HTHP00100	modulates	Protein:SLC1A1
TCM_ID:HTHP00100	modulates	Protein:SLC1A4
TCM_ID:HTHP00100	modulates	Protein:SLC3A1
TCM_ID:HTHP00100	modulates	Protein:SSR2
TCM_ID:HTHP00100	modulates	Protein:ST14
TCM_ID:HTHP00100	modulates	Protein:TBXAS1
TCM_ID:HTHP00100	modulates	Protein:TSPAN7
TCM_ID:HTHP00100	modulates	Protein:TMPRSS2
TCM_ID:HTHP00100	modulates	Protein:TPSAB1
TCM_ID:HTHP00100	modulates	Protein:UBA52
TCM_ID:HTHP00100	modulates	Protein:UBB
TCM_ID:HTHP00100	modulates	Protein:UBC
TCM_ID:HTHP00100	modulates	Protein:ALDH5A1
TCM_ID:HTHP00100	modulates	Protein:MFAP5
TCM_ID:HTHP00100	modulates	Protein:SLC10A3
TCM_ID:HTHP00100	modulates	Protein:ARID1A
TCM_ID:HTHP00100	modulates	Protein:PRSS12
TCM_ID:HTHP00100	modulates	Protein:SAP30
TCM_ID:HTHP00100	modulates	Protein:PROZ
TCM_ID:HTHP00100	modulates	Protein:AIMP1
TCM_ID:HTHP00100	modulates	Protein:GTF3C5
TCM_ID:HTHP00100	modulates	Protein:MTRF1
TCM_ID:HTHP00100	modulates	Protein:KLK4
TCM_ID:HTHP00100	modulates	Protein:SEC24C
TCM_ID:HTHP00100	modulates	Protein:PDE4DIP
TCM_ID:HTHP00100	modulates	Protein:PLPPR4
TCM_ID:HTHP00100	modulates	Protein:MED16
TCM_ID:HTHP00100	modulates	Protein:CELA3A
TCM_ID:HTHP00100	modulates	Protein:RIDA
TCM_ID:HTHP00100	modulates	Protein:SLC30A9
TCM_ID:HTHP00100	modulates	Protein:PPIH
TCM_ID:HTHP00100	modulates	Protein:CD226
TCM_ID:HTHP00100	modulates	Protein:CSPG5
TCM_ID:HTHP00100	modulates	Protein:CORIN
TCM_ID:HTHP00100	modulates	Protein:USP39
TCM_ID:HTHP00100	modulates	Protein:MASP2
TCM_ID:HTHP00100	modulates	Protein:MTMR11
TCM_ID:HTHP00100	modulates	Protein:AFG3L2
TCM_ID:HTHP00100	modulates	Protein:PRSS21
TCM_ID:HTHP00100	modulates	Protein:KLK11
TCM_ID:HTHP00100	modulates	Protein:KLK8
TCM_ID:HTHP00100	modulates	Protein:CTRC
TCM_ID:HTHP00100	modulates	Protein:HABP4
TCM_ID:HTHP00100	modulates	Protein:AGTPBP1
TCM_ID:HTHP00100	modulates	Protein:LARS2
TCM_ID:HTHP00100	modulates	Protein:TPSD1
TCM_ID:HTHP00100	modulates	Protein:CELA3B
TCM_ID:HTHP00100	modulates	Protein:KLK5
TCM_ID:HTHP00100	modulates	Protein:TPSG1
TCM_ID:HTHP00100	modulates	Protein:POU2F3
TCM_ID:HTHP00100	modulates	Protein:DNAH1
TCM_ID:HTHP00100	modulates	Protein:KLK13
TCM_ID:HTHP00100	modulates	Protein:TMPRSS11E
TCM_ID:HTHP00100	modulates	Protein:PRSS50
TCM_ID:HTHP00100	modulates	Protein:CYP2S1
TCM_ID:HTHP00100	modulates	Protein:PIK3R4
TCM_ID:HTHP00100	modulates	Protein:KLK14
TCM_ID:HTHP00100	modulates	Protein:KLK12
TCM_ID:HTHP00100	modulates	Protein:CELA2B
TCM_ID:HTHP00100	modulates	Protein:CPA4
TCM_ID:HTHP00100	modulates	Protein:C1RL
TCM_ID:HTHP00100	modulates	Protein:RNF138
TCM_ID:HTHP00100	modulates	Protein:GET4
TCM_ID:HTHP00100	modulates	Protein:BANK1
TCM_ID:HTHP00100	modulates	Protein:KLK15
TCM_ID:HTHP00100	modulates	Protein:LANCL2
TCM_ID:HTHP00100	modulates	Protein:TMPRSS4
TCM_ID:HTHP00100	modulates	Protein:SH3GLB2
TCM_ID:HTHP00100	modulates	Protein:CPA6
TCM_ID:HTHP00100	modulates	Protein:CYP4F11
TCM_ID:HTHP00100	modulates	Protein:AGBL5
TCM_ID:HTHP00100	modulates	Protein:CELA2A
TCM_ID:HTHP00100	modulates	Protein:PRSS22
TCM_ID:HTHP00100	modulates	Protein:TMPRSS3
TCM_ID:HTHP00100	modulates	Protein:CYP4F12
TCM_ID:HTHP00100	modulates	Protein:TMPRSS5
TCM_ID:HTHP00100	modulates	Protein:NDEL1
TCM_ID:HTHP00100	modulates	Protein:ATAD3B
TCM_ID:HTHP00100	modulates	Protein:PRSS27
TCM_ID:HTHP00100	modulates	Protein:TMPRSS13
TCM_ID:HTHP00100	modulates	Protein:FCRLA
TCM_ID:HTHP00100	modulates	Protein:AGBL4
TCM_ID:HTHP00100	modulates	Protein:FTSJ3
TCM_ID:HTHP00100	modulates	Protein:ISCA2
TCM_ID:HTHP00100	modulates	Protein:AGBL1
TCM_ID:HTHP00100	modulates	Protein:CPO
TCM_ID:HTHP00100	modulates	Protein:TMPRSS11B
TCM_ID:HTHP00100	modulates	Protein:PRSS37
TCM_ID:HTHP00100	modulates	Protein:PRSS58
TCM_ID:HTHP00100	modulates	Protein:PRSS36
TCM_ID:HTHP00100	modulates	Protein:PRSS40A
TCM_ID:HTHP00100	modulates	Protein:TMPRSS6
TCM_ID:HTHP00100	modulates	Protein:CYP4Z1
TCM_ID:HTHP00100	modulates	Protein:SLC10A4
TCM_ID:HTHP00100	modulates	Protein:PRSS55
TCM_ID:HTHP00100	modulates	Protein:PRSS54
TCM_ID:HTHP00100	modulates	Protein:FERD3L
TCM_ID:HTHP00100	modulates	Protein:RNASEH1
TCM_ID:HTHP00100	modulates	Protein:CYP4X1
TCM_ID:HTHP00100	modulates	Protein:PRSS33
TCM_ID:HTHP00100	modulates	Protein:TMPRSS12
TCM_ID:HTHP00100	modulates	Protein:KLK9
TCM_ID:HTHP00100	modulates	Protein:PRSS53
TCM_ID:HTHP00100	modulates	Protein:PRSS38
TCM_ID:HTHP00100	modulates	Protein:PRSS42P
TCM_ID:HTHP00100	modulates	Protein:TMPRSS11A
TCM_ID:HTHP00100	modulates	Protein:AGBL3
TCM_ID:HTHP00100	modulates	Protein:OVCH1
TCM_ID:HTHP00100	modulates	Protein:TMPRSS7
TCM_ID:HTHP00100	modulates	Protein:PRSS48
TCM_ID:HTHP00100	modulates	Protein:SLC10A6
TCM_ID:HTHP00100	modulates	Protein:SLC10A5
TCM_ID:HTHP00100	modulates	Protein:TMPRSS9
TCM_ID:HTHP00100	modulates	Protein:PRSS45P
TCM_ID:HTHP00100	modulates	Protein:CEACAM16
TCM_ID:HTHP00100	modulates	Protein:TMPRSS11F
TCM_ID:HTHP00100	modulates	Protein:PRSS57
TCM_ID:HTHP00100	modulates	Protein:CTRB2
TCM_ID:HTHP00100	modulates	Protein:PRSS46P
TCM_ID:HTHP00100	modulates	Protein:CTSS
TCM_ID:HTHP00100	modulates	Protein:HLA-A
TCM_ID:HTHP00100	modulates	Protein:HLA-B
TCM_ID:HTHP00100	modulates	Protein:HLA-C
TCM_ID:HTHP00100	modulates	Protein:HLA-G
TCM_ID:HTHP00100	modulates	Protein:LNPEP
TCM_ID:HTHP00100	modulates	Protein:PSMA1
TCM_ID:HTHP00100	modulates	Protein:PSMA3
TCM_ID:HTHP00100	modulates	Protein:PSMA4
TCM_ID:HTHP00100	modulates	Protein:PSMA5
TCM_ID:HTHP00100	modulates	Protein:PSMA6
TCM_ID:HTHP00100	modulates	Protein:PSMA7
TCM_ID:HTHP00100	modulates	Protein:PSMB1
TCM_ID:HTHP00100	modulates	Protein:PSMB2
TCM_ID:HTHP00100	modulates	Protein:PSMB4
